Column1,Column2,year,month,day
2020-01-01,3,2020,1,1
2020-01-04,2,2020,1,4
2020-01-05,2,2020,1,5
2020-01-11,2,2020,1,11
2020-01-12,2,2020,1,12
2020-01-18,2,2020,1,18
2020-01-19,2,2020,1,19
2020-01-24,2,2020,1,24
2020-01-25,2,2020,1,25
2020-01-31,2,2020,1,31
2020-02-01,2,2020,2,1
2020-02-04,3,2020,2,4
2020-02-05,3,2020,2,5
2020-02-06,3,2020,2,6
2020-02-07,3,2020,2,7
2020-02-08,3,2020,2,8
2020-02-09,3,2020,2,9
2020-02-10,3,2020,2,10
2020-02-15,2,2020,2,15
2020-02-16,2,2020,2,16
2020-02-22,2,2020,2,22
2020-02-23,2,2020,2,23
2020-02-29,2,2020,2,29
2020-03-01,2,2020,3,1
2020-03-02,2,2020,3,2
2020-03-08,2,2020,3,8
2020-03-09,2,2020,3,9
2020-03-15,2,2020,3,15
2020-03-16,2,2020,3,16
2020-03-22,2,2020,3,22
2020-03-23,2,2020,3,23
2020-03-29,2,2020,3,29
2020-03-30,2,2020,3,30
2020-04-05,3,2020,4,5
2020-04-06,3,2020,4,6
2020-04-07,3,2020,4,7
2020-04-11,2,2020,4,11
2020-04-12,2,2020,4,12
2020-04-18,2,2020,4,18
2020-04-19,2,2020,4,19
2020-04-25,2,2020,4,25
2020-04-26,2,2020,4,26
2020-05-01,3,2020,5,1
2020-05-02,3,2020,5,2
2020-05-03,3,2020,5,3
2020-05-04,3,2020,5,4
2020-05-09,2,2020,5,9
2020-05-10,2,2020,5,10
2020-05-16,2,2020,5,16
2020-05-17,2,2020,5,17
2020-05-23,2,2020,5,23
2020-05-24,2,2020,5,24
2020-05-30,2,2020,5,30
2020-05-31,2,2020,5,31
2020-06-06,2,2020,6,6
2020-06-07,3,2020,6,7
2020-06-08,3,2020,6,8
2020-06-09,3,2020,6,9
2020-06-13,2,2020,6,13
2020-06-14,2,2020,6,14
2020-06-20,2,2020,6,20
2020-06-21,2,2020,6,21
2020-06-27,2,2020,6,27
2020-06-28,2,2020,6,28
2020-07-04,2,2020,7,4
2020-07-05,2,2020,7,5
2020-07-11,2,2020,7,11
2020-07-12,2,2020,7,12
2020-07-18,2,2020,7,18
2020-07-19,2,2020,7,19
2020-07-25,2,2020,7,25
2020-07-26,2,2020,7,26
2020-08-01,2,2020,8,1
2020-08-02,2,2020,8,2
2020-08-08,2,2020,8,8
2020-08-09,2,2020,8,9
2020-08-15,2,2020,8,15
2020-08-16,2,2020,8,16
2020-08-22,2,2020,8,22
2020-08-23,2,2020,8,23
2020-08-29,2,2020,8,29
2020-08-30,2,2020,8,30
2020-09-05,2,2020,9,5
2020-09-06,2,2020,9,6
2020-09-13,3,2020,9,13
2020-09-14,3,2020,9,14
2020-09-15,3,2020,9,15
2020-09-20,2,2020,9,20
2020-09-21,2,2020,9,21
2020-09-27,2,2020,9,27
2020-09-28,2,2020,9,28
2020-10-01,3,2020,10,1
2020-10-02,3,2020,10,2
2020-10-03,3,2020,10,3
2020-10-04,3,2020,10,4
2020-10-05,3,2020,10,5
2020-10-06,3,2020,10,6
2020-10-07,3,2020,10,7
2020-10-10,2,2020,10,10
2020-10-11,2,2020,10,11
2020-10-17,2,2020,10,17
2020-10-18,2,2020,10,18
2020-10-24,2,2020,10,24
2020-10-25,2,2020,10,25
2020-10-31,2,2020,10,31
2020-11-01,2,2020,11,1
2020-11-07,2,2020,11,7
2020-11-08,2,2020,11,8
2020-11-14,2,2020,11,14
2020-11-15,2,2020,11,15
2020-11-21,2,2020,11,21
2020-11-22,2,2020,11,22
2020-11-28,2,2020,11,28
2020-11-29,2,2020,11,29
2020-12-05,2,2020,12,5
2020-12-06,2,2020,12,6
2020-12-12,2,2020,12,12
2020-12-13,2,2020,12,13
2020-12-19,2,2020,12,19
2020-12-20,2,2020,12,20
2020-12-26,2,2020,12,26
2020-12-27,2,2020,12,27
